"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000138780",155.316750267431,-0.179166176796157,0.138497682298862,0.128617023264322,0.34535814363525,"GSTCD","79807"
"ENSG00000229349",11.8832904038573,0.191239142117293,0.310542429611272,0.128670588394856,0.345429846784165,NA,NA
"ENSG00000174718",409.71753519441,-0.172496459643196,0.131197434568426,0.128686607932379,0.345429846784165,"RESF1","55196"
"ENSG00000130600",108.643640643905,-0.103178142556203,0.281669266434656,0.128710447156477,0.345436284214228,"H19","283120"
"ENSG00000021826",323.614900390791,-0.213141352693645,0.187010771724316,0.128867135169901,0.345738236090375,"CPS1","1373"
"ENSG00000204604",166.13360023104,0.229973737675637,0.224245374287101,0.128886829611087,0.345738236090375,"ZNF468","90333"
"ENSG00000162745",167.691271806282,-0.188097694894947,0.309323517123872,0.128887334489404,0.345738236090375,"OLFML2B","25903"
"ENSG00000147421",312.664645377992,-0.18671423818238,0.147348806857067,0.128985596606211,0.345944222893734,"HMBOX1","79618"
"ENSG00000091651",40.0311263037151,-0.228172994889249,0.218753755359488,0.129031494540806,0.346009721795428,"ORC6","23594"
"ENSG00000126003",356.032940068181,0.16672041864565,0.124863237079767,0.129094337730871,0.346095127099487,"PLAGL2","5326"
"ENSG00000182534",6789.27953413089,0.15280303127799,0.111511964568123,0.129123312818793,0.346095127099487,"MXRA7","439921"
